iter	Passed	Remaining
817	7364	1638
818	7373	1629
819	7383	1620
820	7392	1611
821	7401	1602
822	7409	1593
823	7417	1584
824	7426	1575
825	7435	1566
826	7444	1557
827	7453	1548
828	7462	1539
829	7471	1530
830	7480	1521
831	7488	1512
832	7496	1502
833	7504	1493
834	7512	1484
835	7521	1475
836	7529	1466
837	7537	1457
838	7545	1447
839	7554	1438
840	7562	1429
841	7570	1420
842	7579	1411
843	7587	1402
844	7596	1393
845	7604	1384
846	7613	1375
847	7622	1366
848	7631	1357
849	7641	1348
850	7650	1339
851	7660	1330
852	7668	1321
853	7677	1312
854	7686	1303
855	7695	1294
856	7703	1285
857	7711	1276
858	7719	1267
859	7727	1257
860	7736	1248
861	7744	1239
862	7752	1230
863	7761	1221
864	7770	1212
865	7778	1203
866	7787	1194
867	7796	1185
868	7805	1176
869	7813	1167
870	7822	1158
871	7830	1149
872	7839	1140
873	7848	1131
874	7856	1122
875	7865	1113
876	7872	1104
877	7881	1095
878	7890	1086
879	7900	1077
880	7910	1068
881	7919	1059
882	7928	1050
883	7936	1041
884	7944	1032
885	7953	1023
886	7961	1014
887	7970	1005
888	7978	996
889	7987	987
890	7995	978
891	8004	969
892	8012	960
893	8021	951
894	8029	942
895	8038	933
896	8047	924
897	8055	914
898	8064	906
899	8074	897
900	8082	888
901	8091	879
902	8099	870
903	8107	860
904	8116	852
905	8124	842
906	8132	833
907	8141	824
908	8150	815
909	8160	807
910	8171	798
911	8179	789
912	8189	780
913	8197	771
914	8207	762
915	8216	753
916	8224	744
917	8233	735
918	8241	726
919	8249	717
920	8258	708
921	8267	699
922	8276	690
923	8284	681
924	8293	672
925	8302	663
926	8309	654
927	8317	645
928	8325	636
929	8334	627
930	8343	618
931	8351	609
932	8359	600
933	8368	591
934	8376	582
935	8385	573
936	8395	564
937	8405	555
938	8414	546
939	8423	537
940	8432	528
941	8439	519
942	8447	510
943	8456	501
944	8464	492
945	8473	483
946	8482	474
947	8490	465
948	8498	456
949	8507	447
950	8515	438
951	8524	429
952	8533	420
953	8542	411
954	8550	402
955	8559	393
956	8567	384
957	8576	376
958	8585	367
959	8593	358
960	8602	349
961	8611	340
962	8620	331
963	8638	322
964	8646	313
965	8656	304
966	8666	295
967	8676	286
968	8684	277
969	8692	268
970	8701	259
971	8709	250
972	8717	241
973	8726	232
974	8734	223
975	8742	214
976	8751	206
977	8759	197
978	8767	188
979	8775	179
980	8784	170
981	8792	161
982	8801	152
983	8810	143
984	8820	134
985	8829	125
986	8837	116
987	8845	107
988	8853	98
989	8862	89
990	8870	80
991	8879	71
992	8887	62
993	8895	53
994	8903	44
995	8913	35
996	8923	26
997	8934	17
998	8943	8
999	8952	0
